Rk,School,Conf,ConfStr,AdjEM,AdjO,SDO,AdjD,SDD,AdjT,SDP,Record,Home,Neutral,Away,Q1,Q2,Q3,Q4
52.0,Providence,Big East,7.535675277249311,11.862205678401324,110.44270215177767,13.008919295414742,98.58049647337634,16.698987443129337,71.9381890803978,16.698987443129337,[21-12],[15-2],[0-4],[6-6],[3-8],[2-3],[4-1],[12-0]
53.0,Indiana State,MVC,0.7463188532381935,11.8395064137638,109.64268359598177,14.469199192733075,97.80317718221796,20.180678560924648,71.78222452129738,20.180678560924648,[22-13],[10-4],[5-3],[7-6],[1-2],[1-3],[4-5],[16-3]
54.0,Texas A&M,SEC,6.977958743424949,11.80856177320301,107.8193207460525,13.511589370044923,96.01075897284949,17.848614540758092,69.95637781432521,17.848614540758092,[25-10],[15-1],[3-5],[7-4],[3-5],[5-2],[7-1],[10-2]
55.0,Arkansas,SEC,6.977958743424949,11.691227675453717,103.65931905949236,14.356894195431314,91.96809138403864,17.630030157265875,74.5646793727803,17.630030157265875,[22-14],[14-3],[6-3],[2-8],[4-8],[4-3],[7-3],[7-0]
56.0,West Virginia,Big 12,10.754673828542224,11.58300442441407,108.72003757208685,13.44300948929649,97.13703314767278,16.311678392369693,74.3884688181188,16.311678392369693,[19-15],[13-4],[3-3],[3-8],[3-10],[6-3],[5-2],[5-0]
57.0,Colgate,Patriot,-2.141467495405493,11.505013735531733,114.25719657326006,13.214666663761394,102.75218283772833,18.85845411869544,67.63521396953217,18.85845411869544,[25-9],[13-2],[1-3],[11-4],[0-2],[2-3],[5-3],[18-1]
58.0,New Mexico,MWC,6.732010734582303,11.402309885918257,109.15336379645696,11.981489397693672,97.7510539105387,15.444610004553823,74.56185871809366,15.444610004553823,[21-12],[14-5],[2-1],[5-6],[5-4],[0-2],[6-5],[10-1]
59.0,Pittsburgh,ACC,6.458574349571919,11.35939283591037,110.37473502648751,14.118277509415957,99.01534219057714,16.95428014508382,68.5432549399238,16.95428014508382,[24-12],[14-3],[3-4],[7-5],[6-6],[3-3],[3-2],[12-1]
60.0,Hofstra,CAA,-3.54890206421814,11.087510152978112,109.25309504671591,17.417505139251773,98.1655848937378,21.069426142690535,69.21086772968327,21.069426142690535,[24-10],[10-2],[3-3],[11-5],[4-2],[1-2],[6-4],[13-2]
61.0,Akron,MAC,0.41303669242816454,11.083087534966083,106.93054291087967,16.649216195482467,95.84745537591358,19.955136911073158,67.3553548527597,19.955136911073158,[20-11],[13-1],[2-4],[5-6],[1-5],[0-5],[6-0],[13-1]
62.0,Auburn,SEC,6.977958743424949,11.022568946006345,103.39699459528518,16.90944153108151,92.37442564927883,19.31176624175505,73.97430482946669,19.31176624175505,[21-13],[14-2],[3-3],[4-8],[2-8],[4-3],[8-2],[7-0]
63.0,Massachusetts-Lowell,AEC,-2.009596864476663,10.99471329131326,109.77863452125695,14.152884468910152,98.78392122994369,20.448171964912195,68.79860523970186,20.448171964912195,[24-8],[15-0],[0-0],[9-8],[0-3],[1-0],[5-0],[18-5]
64.0,Kansas State,Big 12,10.754673828542224,10.977580767400951,105.03482242116917,14.365359021688946,94.05724165376822,17.75131739966171,75.6114030244585,17.75131739966171,[26-10],[16-1],[6-2],[4-7],[3-6],[9-2],[6-2],[8-0]
65.0,Virginia Tech,ACC,6.458574349571919,10.902766557208409,110.70121434164172,15.756087581021433,99.79844778443331,17.947904215156882,68.35228388534536,17.947904215156882,[19-15],[13-4],[4-1],[2-10],[2-9],[5-3],[4-2],[8-1]
66.0,Northwestern,Big Ten,8.724533341990082,10.731436669103772,103.30820172074262,13.385615149738149,92.57676505163884,16.123272000345615,68.45135003734757,16.123272000345615,[22-12],[13-5],[2-3],[7-4],[6-4],[5-6],[2-2],[9-0]
67.0,Vermont,AEC,-2.009596864476663,10.407506588777963,109.57831322341514,17.12274652258496,99.17080663463717,19.304639231791363,66.56306503804406,19.304639231791363,[22-11],[12-1],[1-4],[9-6],[1-5],[2-2],[4-3],[15-1]
68.0,Brigham Young,WCC,6.922509813696621,10.18296498607134,103.17437875526504,13.471224072374481,92.9914137691937,15.40468682239828,72.36511893159262,15.40468682239828,[17-15],[11-4],[4-4],[2-7],[2-6],[0-5],[7-3],[8-1]
69.0,UNC Greensboro,Southern,0.607138182247013,10.043489031191626,103.0394732218275,14.859739283530896,92.99598419063588,17.146814109585595,65.86171984370945,17.146814109585595,[18-12],[9-3],[1-3],[8-6],[2-2],[2-3],[4-5],[10-2]
70.0,Princeton,Ivy,2.0873678054697535,9.975074907588535,106.82219398880247,11.557663748454491,96.84711908121393,14.873313026742448,71.41510643910603,14.873313026742448,[21-9],[9-3],[4-2],[8-4],[2-4],[3-2],[8-1],[8-2]
71.0,Utah Valley,WAC,0.03782258205318101,9.894378027655549,104.57732625919265,12.29775024711478,94.6829482315371,16.124949046225975,73.70528688495148,16.124949046225975,[25-9],[11-1],[2-3],[12-5],[2-3],[4-1],[7-2],[12-3]
72.0,James Madison,Sun Belt,1.3382678718964485,9.776783644226626,106.01782517603249,15.552915898831369,96.24104153180586,19.17317719923895,74.25216030004717,19.17317719923895,[19-11],[9-3],[2-2],[8-6],[1-3],[1-3],[8-1],[9-4]
73.0,Iowa,Big Ten,8.724533341990082,9.733918661596306,112.02200241380419,17.232821466018578,102.28808375220788,19.519826249015466,74.21590359079661,19.519826249015466,[19-14],[14-3],[1-4],[4-7],[3-5],[8-5],[2-2],[6-2]
